LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room,Cluster
371.0,105.3,3,8,5,151,0,Budget Guests
280.0,53.0,1,10,5,1100,0,Budget Guests
240.0,60.0,1,10,5,1100,0,Budget Guests
230.0,24.0,1,4,2,1097,0,Budget Guests
535.0,94.0,1,10,5,1100,1,Group Travelers
174.0,69.0,1,6,3,1098,0,Budget Guests
292.0,81.0,1,10,5,1100,0,Budget Guests
327.7,48.0,1,8,4,1099,0,Budget Guests
437.0,36.0,1,6,3,1098,0,Budget Guests
455.0,18.0,1,3,3,1098,0,Budget Guests
174.0,36.0,1,8,4,1099,1,Group Travelers
224.0,156.0,1,4,2,1097,1,Group Travelers
348.12,66.0,1,8,4,1099,0,Budget Guests
144.0,93.0,1,6,3,1098,0,Budget Guests
177.0,21.5,1,3,3,1098,0,Budget Guests
240.0,104.5,1,10,5,1100,0,Budget Guests
177.0,20.5,1,3,3,1098,0,Budget Guests
177.0,18.0,1,3,3,1098,0,Budget Guests
1083.5,255.49,9,18,14,591,1,Group Travelers
180.6,54.0,1,6,3,1098,0,Budget Guests
180.6,100.5,1,6,3,1098,1,Group Travelers
210.0,73.0,1,8,4,1099,0,Budget Guests
563.1,90.0,1,6,3,1098,0,Budget Guests
455.7,86.5,1,10,5,1100,1,Group Travelers
251.1,40.5,1,6,3,1098,0,Budget Guests
202.8,24.0,1,4,2,1097,1,Group Travelers
101.4,21.0,1,2,1,1096,1,Group Travelers
370.0,62.5,1,8,4,1099,1,Group Travelers
142.8,35.3,1,3,3,1098,0,Budget Guests
116.0,27.0,1,4,2,1097,1,Group Travelers
142.8,15.3,1,3,3,1098,0,Budget Guests
213.52,11.5,1,8,4,1099,0,Budget Guests
147.9,47.6,1,6,3,1098,1,Group Travelers
123.0,12.0,1,2,1,1096,0,Budget Guests
147.9,30.6,1,6,3,1098,1,Group Travelers
168.0,18.0,1,3,3,1098,0,Budget Guests
423.31,91.5,1,14,7,1102,0,Budget Guests
141.5,13.5,1,3,1,1096,0,Budget Guests
300.0,284.97,1,15,5,1100,0,Budget Guests
294.0,77.7,1,8,4,1099,0,Budget Guests
515.34,292.5,1,12,6,1100,1,Group Travelers
515.34,301.5,1,12,6,1100,1,Group Travelers
321.52,623.1,1,12,4,1098,1,Group Travelers
875.16,1189.2,1,8,4,1098,1,Group Travelers
875.16,1201.7,1,8,4,1098,1,Group Travelers
291.72,749.9,1,8,4,1098,1,Group Travelers
192.0,50.0,1,8,4,1098,0,Budget Guests
653.4,759.6,1,8,4,1098,1,Group Travelers
770.1,957.9,1,12,4,1098,1,Group Travelers
256.7,322.3,1,12,4,1098,1,Group Travelers
653.4,759.6,1,8,4,1098,1,Group Travelers
406.05,381.5,1,10,5,1099,0,Budget Guests
485.0,101.0,1,10,5,1099,1,Group Travelers
406.05,361.5,1,10,5,1099,0,Budget Guests
485.0,134.5,1,10,5,1099,1,Group Travelers
207.59,57.0,1,6,3,1097,1,Group Travelers
207.59,105.9,1,6,3,1097,1,Group Travelers
192.0,67.5,1,8,4,1098,0,Budget Guests
331.0,44.0,1,6,3,1097,0,Budget Guests
324.0,38.0,1,6,3,1097,0,Budget Guests
318.99,65.0,1,6,3,1097,0,Budget Guests
318.99,43.0,1,6,3,1097,0,Budget Guests
336.99,21.5,1,3,3,1097,0,Budget Guests
195.6,44.0,1,4,2,1096,1,Group Travelers
201.46,48.5,1,6,3,1097,0,Budget Guests
325.05,107.0,1,10,5,1099,0,Budget Guests
508.0,346.5,1,16,4,1098,1,Group Travelers
242.55,38.0,1,6,3,1097,0,Budget Guests
404.5,473.3,1,9,3,1097,1,Group Travelers
242.55,48.0,1,6,3,1097,0,Budget Guests
376.0,224.0,1,8,2,1096,1,Group Travelers
144.0,40.5,1,6,3,1097,0,Budget Guests
274.5,47.0,1,6,3,1097,1,Group Travelers
165.0,24.0,1,4,1,1095,0,Budget Guests
276.58,113.5,1,6,3,1097,0,Budget Guests
192.0,50.0,1,8,4,1098,0,Budget Guests
397.2,74.0,1,12,6,1100,1,Group Travelers
192.0,54.5,1,8,4,1098,0,Budget Guests
144.0,52.5,1,6,3,1097,0,Budget Guests
279.0,42.0,1,2,1,1095,0,Budget Guests
