LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room
371.0,105.3,3,8,5,151,0
280.0,53.0,1,10,5,1100,0
240.0,60.0,1,10,5,1100,0
230.0,24.0,1,4,2,1097,0
535.0,94.0,1,10,5,1100,1
174.0,69.0,1,6,3,1098,0
292.0,81.0,1,10,5,1100,0
327.7,48.0,1,8,4,1099,0
437.0,36.0,1,6,3,1098,0
455.0,18.0,1,3,3,1098,0
174.0,36.0,1,8,4,1099,1
224.0,156.0,1,4,2,1097,1
348.12,66.0,1,8,4,1099,0
144.0,93.0,1,6,3,1098,0
177.0,21.5,1,3,3,1098,0
240.0,104.5,1,10,5,1100,0
177.0,20.5,1,3,3,1098,0
177.0,18.0,1,3,3,1098,0
1083.5,255.49,9,18,14,591,1
180.6,54.0,1,6,3,1098,0
180.6,100.5,1,6,3,1098,1
210.0,73.0,1,8,4,1099,0
563.1,90.0,1,6,3,1098,0
455.7,86.5,1,10,5,1100,1
251.1,40.5,1,6,3,1098,0
202.8,24.0,1,4,2,1097,1
101.4,21.0,1,2,1,1096,1
370.0,62.5,1,8,4,1099,1
142.8,35.3,1,3,3,1098,0
116.0,27.0,1,4,2,1097,1
142.8,15.3,1,3,3,1098,0
213.52,11.5,1,8,4,1099,0
147.9,47.6,1,6,3,1098,1
123.0,12.0,1,2,1,1096,0
147.9,30.6,1,6,3,1098,1
168.0,18.0,1,3,3,1098,0
423.31,91.5,1,14,7,1102,0
141.5,13.5,1,3,1,1096,0
300.0,284.97,1,15,5,1100,0
294.0,77.7,1,8,4,1099,0
515.34,292.5,1,12,6,1100,1
515.34,301.5,1,12,6,1100,1
321.52,623.1,1,12,4,1098,1
875.16,1189.2,1,8,4,1098,1
875.16,1201.7,1,8,4,1098,1
291.72,749.9,1,8,4,1098,1
192.0,50.0,1,8,4,1098,0
653.4,759.6,1,8,4,1098,1
770.1,957.9,1,12,4,1098,1
256.7,322.3,1,12,4,1098,1
653.4,759.6,1,8,4,1098,1
406.05,381.5,1,10,5,1099,0
485.0,101.0,1,10,5,1099,1
406.05,361.5,1,10,5,1099,0
485.0,134.5,1,10,5,1099,1
207.59,57.0,1,6,3,1097,1
207.59,105.9,1,6,3,1097,1
192.0,67.5,1,8,4,1098,0
331.0,44.0,1,6,3,1097,0
324.0,38.0,1,6,3,1097,0
318.99,65.0,1,6,3,1097,0
